Company Name,ESG Rating
"HYUNDAI ENGINEERING & CONSTRUCTION CO.,LTD",BBB
IA FINANCIAL CORPORATION INC,AA
"INDUSTRIAL BANK CO.,LTD.",AA
"Iberdrola, S.A.",AAA
"IBIDEN CO.,LTD.",AAA
IDEX CORPORATION,AA
VODAFONE IDEA LIMITED,B
IDFC FIRST BANK LIMITED,A
"IEIT SYSTEMS Co., Ltd,",A
"iFLYTEK CO.,LTD",BB
IGM FINANCIAL INC,A
"ILLUMINA, INC.",A
ILLINOIS TOOL WORKS INC.,A
TURKCELL ILETISIM HIZMETLERI ANONIM SIRKETI,A
LEG Immobilien SE,AAA
Muenchener Rueckversicherungs-Gesellschaft Aktiengesellschaft in Muenchen,AAA
"UDR, INC.",BB
"PAYCHEX, INC.",AA
"BXP, INC.",AA
"NVR, Inc.",A
ECOLAB INC.,AAA
"EQUINIX, INC.",AA
METRO INC.,A
"DATADOG, INC.",A
"TOAST, INC.",BBB
IOI CORPORATION BERHAD,BBB
INTERNATIONAL PAPER COMPANY,AA
Industries Qatar Q.P.S.C,CCC
"IQIYI, INC.",B
IQVIA HOLDINGS INC,AA
INGERSOLL RAND INC.,AA
BANK OF IRELAND GROUP PUBLIC LIMITED COMPANY,A
TURKIYE IS BANKASI ANONIM SIRKETI,BB
TINGYI (CAYMAN ISLANDS) HOLDING CORP.,BB
ISRAEL DISCOUNT BANK LIMITED,BBB
BANK LEUMI LE ISRAEL B.M.,A
Qatar Islamic Bank (Q.P.S.C),BBB
QATAR INTERNATIONAL ISLAMIC BANK (Q.P.S.C.),CCC
"GARTNER, INC.",AA
"Amadeus IT Group, S.A.",AA
TELECOM ITALIA SPA,BBB
Itau Unibanco Holding S.A.,A
IVANHOE MINES LTD,A
"JA Solar Technology Co., Ltd.",B
"JACK HENRY & ASSOCIATES, INC.",A
"RAYMOND JAMES FINANCIAL, INC.",AA
JAMES HARDIE INDUSTRIES PUBLIC LIMITED COMPANY,AA
ORACLE CORPORATION JAPAN,A
"Japan Airlines Co., Ltd.",A
West Japan Railway Company,AA
Central Japan Railway Company,A
JBS S.A.,CCC
"JCET Group Co., Ltd.",BB
"JCHX MINING MANAGEMENT CO.,LTD.",BB
JD SPORTS FASHION PLC,A
JD Logistics Inc,BB
JD Health International Inc,BBB
"JD.COM, INC.",A
JDE Peet's N.V.,BBB
"Jeronimo Martins, SGPS, S.A.",A
LA FRANCAISE DES JEUX SA,AA
CHOW TAI FOOK JEWELLERY GROUP LIMITED,A
"Yantai Jereh Oilfield Services Group Co., Ltd.",BB
"JFE Holdings, Inc.",AA
"JG SUMMIT HOLDINGS, INC.",BBB
JOHNSON & JOHNSON,A
JOHNSON CONTROLS INTERNATIONAL PLC,AA
Jiangsu King's Luck Brewery Joint-Stock Co Ltd,CCC
JPMORGAN CHASE & CO.,A
East Japan Railway Company,A
Jiangsu Expressway Company Limited,BB
JSW STEEL LIMITED,B
"Guotai Junan Securities Co., Ltd.",BBB
KB Financial Group Inc.,AAA
KBC GROEP NV,AAA
KDDI CORPORATION,AAA
Ke Holdings Inc,BBB
KERRY GROUP PUBLIC LIMITED COMPANY,AAA
"Yihai Kerry Arawana Food Group Co., Ltd.",A
KGHM POLSKA MIEDZ SPOLKA AKCYJNA,BBB
Henkel AG & Co. KGaA,AAA
CTS Eventim AG & Co. KGaA,A
"KGI Financial Holding Co., Ltd.",BBB
KIA CORPORATION,B
KIMBERLY-CLARK CORPORATION,AA
"Kimberly-Clark de Mexico, S.A.B. de C.V.",BBB
KKR & CO. INC.,BBB
KLEPIERRE SA,A
KLA CORPORATION,A
KLABIN S.A.,BBB
Wolters Kluwer N.V.,AAA
Knorr-Bremse Aktiengesellschaft,AA
KNIGHT-SWIFT TRANSPORTATION HOLDINGS INC.,A
THE COCA-COLA COMPANY,AAA
"KOREAN AIR LINES CO.,LTD",A
KOTAK MAHINDRA BANK LIMITED,A
KOREA ZINC INC,BB
BOC HONG KONG (HOLDINGS) LIMITED,AA
KOREA ELECTRIC POWER CORPORATION,BB
"KOREA AEROSPACE INDUSTRIES, LTD.",BB
KOKUSAI ELECTRIC CORPORATION,AA
Mabanee Company KPSC,BB
Koninklijke KPN N.V.,AAA
THE KROGER CO.,AA
KRUNGTHAI CARD PUBLIC COMPANY LIMITED,BBB
Krung Thai Bank Public Company Limited,A
KT CORPORATION,A
KT&G Corporation,AA
KUBOTA CORPORATION,AAA
KUAISHOU TECHNOLOGY,BBB
"KUMYANG CO.,LTD",CCC
Kuehne   Nagel International AG,AAA
KUMBA IRON ORE LIMITED,AA
KUALA LUMPUR KEPONG BERHAD,AA
"Kunlun Tech Co., Ltd.",CCC
"KUMHO PETRO CHEMICAL CO.,LTD",BB
"Kweichow Moutai Co., Ltd.",BBB
KYOCERA CORPORATION,A
UPM-Kymmene Oyj,AAA
"Kyowa Kirin Co., Ltd.",AA
LAS VEGAS SANDS CORP.,BBB
LATAM Airlines Group S.A.,BBB
"LB Group Co., Ltd.",CCC
"Lens Technology Co.,Ltd.",CCC
ARISTOCRAT LEISURE LIMITED,AA
LEGAL & GENERAL GROUP PLC,AAA
LG Corp.,BB
LG CHEM LTD,A
"LG Display Co., Ltd.",AA
"LG H&H Co., Ltd.",BBB
"LG INNOTEK CO.,LTD",BB
"LG ENERGY SOLUTION, LTD.",BBB
LABCORP HOLDINGS INC.,AA
Li Ning Co Ltd,BBB
SBI LIFE INSURANCE COMPANY LIMITED,B
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,AA
DISCOVERY LIMITED,A
CITIC Limited,BBB
ITC LIMITED,AA
LKQ CORPORATION,AAA
Telefonaktiebolaget LM Ericsson,BBB
PETRONET LNG LIMITED,B
SAL Saudi Logistics Services Company SJSC,B
LPL FINANCIAL HOLDINGS INC.,A
LEGRAND SA,AA
"LS ELECTRIC CO., LTD",BBB
LTIMINDTREE LIMITED,A
FORTESCUE LTD,AA
StoneCo Ltd.,BB
VEON Ltd.,AA
Nutrien Ltd.,AA
Monday.Com Ltd,A
AltaGas Ltd.,AA
TOTO LTD.,AA
LVMH MOET HENNESSY LOUIS VUITTON SE,AA
"LAMB WESTON HOLDINGS, INC.",AA
LY Corporation,AAA
LyondellBasell Industries N.V.,AA
MASTERCARD INCORPORATED.,AA
"Hitachi Construction Machinery Co., Ltd.",AA
Zhejiang Dingli Machinery Co Ltd,B
MBANK SPOLKA AKCYJNA,A
"HUADONG MEDICINE CO., LTD",BBB
Mega Financial Holding Company Ltd.,AA
Mango Excellent Media Co Ltd,B
Jiangsu Phoenix Publishing & Media Corporation Limited,B
"Focus Media Information Technology Co., Ltd.",BB
Magna International Inc.,BBB
Multiply Group PJSC,BB
MGM RESORTS INTERNATIONAL,BBB
MICROSOFT CORPORATION,AA
Trend Micro Incorporated,A
SG Micro Corp,BBB
"ADVANCED MICRO DEVICES, INC.",AA
"MICRO-STAR INTERNATIONAL CO.,LTD.",BBB
COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN SCA,AAA
MMG Limited,BBB
"Altria Group, Inc.",A
EXXON MOBIL CORPORATION,BBB
"T-MOBILE US, INC.",BB
"TAIWAN MOBILE CO., LTD.",A
MPHASIS LIMITED,A
Mr DIY Group (M) Bhd,A
MRF LIMITED,B
MORGAN STANLEY,AA
MTN GROUP LIMITED,AA
MTR CORPORATION LIMITED,AAA
"MICRON TECHNOLOGY, INC.",A
OLD MUTUAL LIMITED,AA
"Banco del Bajio S.A., Institucion de Banca Multiple",BBB
BRISTOL-MYERS SQUIBB COMPANY,A
NATIONAL BANK OF CANADA,AAA
NAN YA PLASTICS CORPORATION,BBB
PUNJAB NATIONAL BANK,A
NATIONAL GRID PLC,AAA
"NASDAQ, INC.",AA
QATAR NATIONAL BANK (Q.P.S.C.),A
NCsoft Corporation,AA
NEWS CORPORATION,BBB
